cohort_week,week_offset,active_users,cohort_size,retention_pct
2020-11-01,0,20078,20078,100.0
2020-11-01,1,1267,20078,6.31
2020-11-01,2,693,20078,3.45
2020-11-01,3,453,20078,2.26
2020-11-01,4,455,20078,2.27
2020-11-01,5,385,20078,1.92
2020-11-01,6,254,20078,1.27
2020-11-01,7,119,20078,0.59
2020-11-01,8,74,20078,0.37
2020-11-01,9,129,20078,0.64
2020-11-01,10,104,20078,0.52
2020-11-01,11,82,20078,0.41
2020-11-01,12,82,20078,0.41
2020-11-01,13,4,20078,0.02
2020-11-08,0,16232,16232,100.0
2020-11-08,1,1068,16232,6.58
2020-11-08,2,525,16232,3.23
2020-11-08,3,427,16232,2.63
2020-11-08,4,404,16232,2.49
2020-11-08,5,257,16232,1.58
2020-11-08,6,126,16232,0.78
2020-11-08,7,74,16232,0.46
2020-11-08,8,97,16232,0.6
2020-11-08,9,89,16232,0.55
2020-11-08,10,90,16232,0.55
2020-11-08,11,71,16232,0.44
2020-11-08,12,3,16232,0.02
2020-11-15,0,17845,17845,100.0
2020-11-15,1,1041,17845,5.83
2020-11-15,2,598,17845,3.35
2020-11-15,3,435,17845,2.44
2020-11-15,4,322,17845,1.8
2020-11-15,5,140,17845,0.78
2020-11-15,6,73,17845,0.41
2020-11-15,7,92,17845,0.52
2020-11-15,8,85,17845,0.48
2020-11-15,9,74,17845,0.41
2020-11-15,10,69,17845,0.39
2020-11-15,11,4,17845,0.02
2020-11-22,0,19637,19637,100.0
2020-11-22,1,1052,19637,5.36
2020-11-22,2,522,19637,2.66
2020-11-22,3,341,19637,1.74
2020-11-22,4,154,19637,0.78
2020-11-22,5,92,19637,0.47
2020-11-22,6,112,19637,0.57
2020-11-22,7,91,19637,0.46
2020-11-22,8,77,19637,0.39
2020-11-22,9,93,19637,0.47
2020-11-22,10,4,19637,0.02
2020-11-29,0,21991,21991,100.0
2020-11-29,1,1211,21991,5.51
2020-11-29,2,503,21991,2.29
2020-11-29,3,185,21991,0.84
2020-11-29,4,141,21991,0.64
2020-11-29,5,142,21991,0.65
2020-11-29,6,129,21991,0.59
2020-11-29,7,83,21991,0.38
2020-11-29,8,104,21991,0.47
2020-11-29,9,6,21991,0.03
2020-12-06,0,28069,28069,100.0
2020-12-06,1,996,28069,3.55
2020-12-06,2,296,28069,1.05
2020-12-06,3,188,28069,0.67
2020-12-06,4,303,28069,1.08
2020-12-06,5,179,28069,0.64
2020-12-06,6,120,28069,0.43
2020-12-06,7,108,28069,0.38
2020-12-06,8,6,28069,0.02
2020-12-13,0,25153,25153,100.0
2020-12-13,1,732,25153,2.91
2020-12-13,2,233,25153,0.93
2020-12-13,3,304,25153,1.21
2020-12-13,4,227,25153,0.9
2020-12-13,5,139,25153,0.55
2020-12-13,6,130,25153,0.52
2020-12-13,7,8,25153,0.03
2020-12-20,0,17830,17830,100.0
2020-12-20,1,451,17830,2.53
2020-12-20,2,218,17830,1.22
2020-12-20,3,172,17830,0.96
2020-12-20,4,107,17830,0.6
2020-12-20,5,72,17830,0.4
2020-12-20,6,6,17830,0.03
2020-12-27,0,16539,16539,100.0
2020-12-27,1,422,16539,2.55
2020-12-27,2,154,16539,0.93
2020-12-27,3,93,16539,0.56
2020-12-27,4,87,16539,0.53
2020-12-27,5,5,16539,0.03
2021-01-03,0,22774,22774,100.0
2021-01-03,1,737,22774,3.24
2021-01-03,2,288,22774,1.26
2021-01-03,3,182,22774,0.8
2021-01-03,4,21,22774,0.09
2021-01-10,0,21452,21452,100.0
2021-01-10,1,758,21452,3.53
2021-01-10,2,311,21452,1.45
2021-01-10,3,27,21452,0.13
2021-01-17,0,20782,20782,100.0
2021-01-17,1,865,20782,4.16
2021-01-17,2,47,20782,0.23
2021-01-24,0,19560,19560,100.0
2021-01-24,1,193,19560,0.99
2021-01-31,0,2212,2212,100.0
